User_id,Test_Books,Recommended,Category_Precision,Category_Recall,F1,Hit
A2YTHMJJJQCOZ,great expectations; great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A2DQQY9WZK6L18,great expectations; great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A2F3SXHT6RBV81,"the truth about hillary (clinton): what she knew, when she knew it, and how far she'll go to become president; blue like jazz: nonreligious thoughts on christian spirituality","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.0,0.0,0.0,0,0.0
A1CNQTCRQ35IMM,sea swept (chesapeake bay series); the summerhouse,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.3333333333333333,0.5,1,0.8388888888888888
A13WS8O77FRTHX,"in too deep (the men of t-flac: the wrights, book 4); master of desire","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
A3QW09WANRS6BZ,great expectations; dubliners (dover large print classics),"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A1DQZBHEU98PBT,bittersweet; the mother of all pregnancy books,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; memory in death (in death #22)",0.0,0.0,0.0,0,0.0
AWS5NBJCYLY7A,silas marner (the classic collection); great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german",1.0,0.25,0.4,1,0.725
A2RPIGO3G4M6GN,riptide (fbi thriller); riptide (fbi thriller),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.7726190476190476
A20EEWWSFMZ1PN,hamlet; hamlet,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.0,0.0,0.0,0,0.0
A2WB4OWBUH2VQX,great expectations; the year of jubilo: a novel of the civil war,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german",1.0,0.3333333333333333,0.5,1,0.7823412698412698
A1N1YEMTI9DJ86,shoulder the sky (world war one series); angels in the gloom (world war one series),"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the awakening; hamlet; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german; treasure island; a hunger like no other (immortals after dark, book 1)",1.0,0.3333333333333333,0.5,1,0.7656746031746031
A1DYXCF4148PJT,narrative of the life of frederick douglass; trauma and recovery: the aftermath of violence--from domestic abuse to political terror,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.0,0.0,0.0,0,0.0
A3TKGM2JJJC1I3,silas marner (the classic collection); great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; hamlet; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german; treasure island",1.0,0.3333333333333333,0.5,1,0.7823412698412698
A1YWUHRJDMATPI,"waylander (drenai tales, book 4); treasure island","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
A2VKWLCNZF4ZVB,li'l mama's rules: a novel; babylon sisters,"great expectations; second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german",1.0,0.3333333333333333,0.5,1,0.8552579365079365
